run_timestamp,run_date,wallet_label,coldkey,hotkey,hotkey_name,current_alpha,period_start_alpha,earned_alpha,notes
2026-05-28 22:18:01 UTC,2026-05-28,Wallet3_taobotE2L,5CZtgF1xChRMKXrihA62smGMvhtRCaSsyz1tRqngCJQoVL4f,5HK5tp6t2S59,TAO.com,30437.865913,30404.367532,33.498381,validators:TAO.com
2026-05-28 22:18:32 UTC,2026-05-28,Wallet4_TAOcom,5FnxK1znrcQka73mPaHJgY4s14ryGVvmXtUwFHw9so2AdWsE,5HK5tp6t2S59,TAO.com,1582.824372,1581.082395,1.741977,validators:TAO.com
2026-05-28 22:19:05 UTC,2026-05-28,Wallet5_TAOcom,5DcFxprQ9LCwezrjetRwfJeAd2bVTVgzu3eENRg9tGNnD9on,5CFtzzb4vym9,Rizzo (Insured),9771.377895,9760.183460,11.194435,validators:Rizzo (Insured)
2026-05-28 22:19:37 UTC,2026-05-28,Wallet6_taobotTAOcom,5GUEJ2h8anTrN2UpJTTyPopbKKCRkAC3WsFc2wrqTbFpmN6U,5E4z3h9yVhmQ,Tensorplex Labs,6466.612800,6459.114222,7.498578,validators:Tensorplex Labs
2026-05-28 22:20:10 UTC,2026-05-28,Wallet7_DittoTAOcom,5HYKqWwQgcWnRNbzCwX6gDA9RF6VBdAmaKxJFyQ17NUTiHGg,5GP7c3fFazW9,Datura,8198.579966,8187.753924,10.826042,validators:Datura
2026-05-29 21:29:29 UTC,2026-05-29,Wallet1_Ditto,5GU1RuZTnencf9ETjtStxSWrh5UyMUxpJDjy5Y74fCnvLCPJ,5HmP9732JFjn,Ditto,30139.483279,30110.202847,29.280432,validators:Ditto
2026-05-29 21:30:00 UTC,2026-05-29,Wallet2_1T1BAI,5F9tvGHYMkoJ95biTvmscmnW6bxzXq5VUsGhX4q4fZvpu2sy,5G9hfkx9wGB1,1T1B.AI,30215.302396,30179.009157,36.293239,validators:1T1B.AI
2026-05-29 21:30:31 UTC,2026-05-29,Wallet3_taobotE2L,5CZtgF1xChRMKXrihA62smGMvhtRCaSsyz1tRqngCJQoVL4f,5HK5tp6t2S59,TAO.com,30471.793186,30439.542514,32.250672,validators:TAO.com
2026-05-29 21:31:02 UTC,2026-05-29,Wallet4_TAOcom,5FnxK1znrcQka73mPaHJgY4s14ryGVvmXtUwFHw9so2AdWsE,5HK5tp6t2S59,TAO.com,1584.588652,1582.911558,1.677094,validators:TAO.com
2026-05-29 21:31:33 UTC,2026-05-29,Wallet5_TAOcom,5DcFxprQ9LCwezrjetRwfJeAd2bVTVgzu3eENRg9tGNnD9on,5CFtzzb4vym9,Rizzo (Insured),9781.704592,9771.922009,9.782583,validators:Rizzo (Insured)
2026-05-29 21:32:04 UTC,2026-05-29,Wallet6_taobotTAOcom,5GUEJ2h8anTrN2UpJTTyPopbKKCRkAC3WsFc2wrqTbFpmN6U,5E4z3h9yVhmQ,Tensorplex Labs,6475.090106,6467.126303,7.963803,validators:Tensorplex Labs
2026-05-29 21:32:55 UTC,2026-05-29,Wallet7_DittoTAOcom,5HYKqWwQgcWnRNbzCwX6gDA9RF6VBdAmaKxJFyQ17NUTiHGg,5GP7c3fFazW9,Datura,8209.385063,8199.162726,10.222337,validators:Datura
2026-05-30 19:51:54 UTC,2026-05-30,Wallet1_Ditto,5GU1RuZTnencf9ETjtStxSWrh5UyMUxpJDjy5Y74fCnvLCPJ,5HmP9732JFjn,Ditto,30170.896936,30142.803123,28.093813,validators:Ditto
